YYYYMM,CLIENT_ID,STATUS,AGE,PORTFOLIO_ID,CLIENT_TENURE
202512,C00141,Existing,45,P0106,145
202512,C00142,Left,39,P0096,26
202512,C00143,Existing,47,P0176,167
202512,C00144,Existing,56,P0039,72
202512,C00145,Existing,38,P0168,81
202512,C00146,Existing,51,P0042,17
202512,C00147,Existing,39,P0111,82
202512,C00148,Existing,32,P0104,32
202512,C00149,Left,26,P0077,22
202512,C00150,Existing,33,P0008,16
202512,C00151,Left,40,P0026,114
202512,C00152,Existing,61,P0140,42
202512,C00153,Existing,37,P0043,60
202512,C00154,Left,56,P0179,71
202512,C00155,Existing,35,P0110,126
202512,C00156,Existing,49,P0100,125
202512,C00157,Existing,50,P0063,117
202512,C00158,Left,50,P0049,47
202512,C00159,Left,29,P0115,116
202512,C00160,Existing,38,P0155,46
202512,C00161,Existing,20,P0137,96
202512,C00162,Existing,43,P0167,140
202512,C00163,Existing,47,P0065,161
202512,C00164,Existing,51,P0199,96
202512,C00165,Existing,25,P0071,89
202512,C00166,Existing,36,P0007,177
202512,C00167,Existing,62,P0200,3
202512,C00168,Left,42,P0080,113
202512,C00169,Existing,50,P0067,98
202512,C00170,Left,55,P0138,92
202512,C00171,Left,53,P0199,80
202512,C00172,Existing,36,P0181,129
202512,C00173,Existing,41,P0101,93
202512,C00174,Left,48,P0095,68
202512,C00175,Existing,44,P0087,103
202512,C00176,Existing,45,P0185,142
202512,C00177,Existing,38,P0091,114
202512,C00178,Existing,48,P0103,117
202512,C00179,Left,35,P0126,82
202512,C00180,Left,20,P0155,1
202512,C00181,Left,47,P0182,119
202512,C00182,Existing,29,P0113,50
202512,C00183,Left,51,P0004,33
202512,C00184,Existing,45,P0088,42
202512,C00185,Existing,60,P0151,57
202512,C00186,Existing,36,P0176,129
202512,C00187,Existing,31,P0170,54
202512,C00188,Existing,34,P0003,19
202512,C00189,Existing,50,P0091,61
202512,C00190,Existing,56,P0003,59
202512,C00191,Existing,42,P0156,97
202512,C00192,Existing,39,P0191,101
202512,C00193,Existing,31,P0081,10
202512,C00194,Left,39,P0159,92
202512,C00195,Existing,56,P0138,101
202512,C00196,Existing,48,P0177,6
202512,C00197,Left,51,P0094,42
202512,C00198,Left,30,P0126,26
202512,C00199,Existing,38,P0113,57
202512,C00200,Existing,45,P0149,121
202512,C00201,Existing,50,P0100,162
202512,C00202,Existing,34,P0053,30
202512,C00203,Existing,20,P0087,29
202512,C00204,Left,49,P0089,104
202512,C00205,Left,29,P0054,91
202512,C00206,Existing,37,P0185,95
202512,C00207,Existing,37,P0020,95
202512,C00208,Existing,55,P0113,89
202512,C00209,Existing,64,P0049,117
202512,C00210,Left,44,P0135,112
202512,C00211,Left,50,P0029,70
202512,C00212,Left,23,P0048,104
202512,C00213,Existing,20,P0013,109
202512,C00214,Left,29,P0003,23
202512,C00215,Existing,43,P0002,13
202512,C00216,Existing,48,P0016,150
202512,C00217,Existing,29,P0094,31
202512,C00218,Existing,43,P0102,97
202512,C00219,Existing,47,P0134,93
202512,C00220,Left,50,P0045,126
202512,C00221,Existing,27,P0071,96
202512,C00222,Existing,50,P0133,89
202512,C00223,Left,51,P0056,11
202512,C00224,Existing,60,P0199,18
202512,C00225,Existing,37,P0127,37
202512,C00226,Existing,38,P0032,170
202512,C00227,Existing,24,P0049,6
202512,C00228,Existing,61,P0013,56
202512,C00229,Existing,23,P0158,116
202512,C00230,Existing,63,P0025,15
202512,C00231,Existing,45,P0060,132
202512,C00232,Existing,47,P0059,86
202512,C00233,Existing,44,P0156,131
202512,C00234,Existing,39,P0058,80
202512,C00235,Existing,40,P0020,117
202512,C00236,Left,47,P0162,6
202512,C00237,Left,50,P0133,159
202512,C00238,Existing,36,P0188,73
202512,C00239,Existing,31,P0171,118
202512,C00240,Existing,43,P0057,111
202512,C00241,Left,37,P0185,157
202512,C00242,Existing,60,P0054,64
202512,C00243,Existing,47,P0112,68
202512,C00244,Existing,46,P0173,105
202512,C00245,Existing,36,P0086,174
202512,C00246,Existing,35,P0037,167
202512,C00247,Existing,48,P0084,118
202512,C00248,Existing,26,P0048,66
202512,C00249,Left,40,P0118,175
202512,C00250,Left,44,P0182,99
202512,C00251,Existing,54,P0048,116
202512,C00252,Existing,43,P0112,144
202512,C00253,Existing,40,P0110,131
202512,C00254,Existing,42,P0006,167
202512,C00255,Existing,42,P0162,4
202512,C00256,Left,40,P0191,153
202512,C00257,Existing,39,P0078,144
202512,C00258,Existing,35,P0176,140
202512,C00259,Existing,42,P0023,145
202512,C00260,Existing,33,P0126,98
202512,C00261,Existing,44,P0084,62
202512,C00262,Existing,21,P0013,22
202512,C00263,Existing,35,P0047,97
202512,C00264,Existing,25,P0044,73
202512,C00265,Existing,50,P0105,26
202512,C00266,Left,47,P0160,5
202512,C00267,Existing,37,P0154,15
202512,C00268,Existing,35,P0181,64
202512,C00269,Existing,40,P0014,145
202512,C00270,Existing,49,P0180,76
202512,C00271,Existing,64,P0121,63
202512,C00272,Existing,41,P0036,21
202512,C00273,Existing,24,P0008,82
202512,C00274,Existing,40,P0168,66
202512,C00275,Existing,42,P0150,99
202512,C00276,Existing,37,P0016,110
202512,C00277,Left,49,P0091,91
202512,C00278,Existing,36,P0120,112
202512,C00279,Left,41,P0188,35
202512,C00280,Existing,39,P0060,110
202512,C00281,Existing,45,P0010,6
202512,C00282,Left,50,P0153,84
202512,C00283,Existing,57,P0031,102
202512,C00284,Left,24,P0021,75
202512,C00285,Existing,33,P0081,109
202512,C00286,Existing,49,P0033,103
202512,C00287,Existing,24,P0031,102
202512,C00288,Left,39,P0149,177
202512,C00289,Existing,53,P0036,75
202512,C00290,Existing,28,P0193,70
202512,C00291,Existing,44,P0132,170
202512,C00292,Left,31,P0068,109
202512,C00293,Existing,23,P0090,106
202512,C00294,Existing,50,P0132,166
202512,C00295,Left,58,P0009,51
202512,C00296,Existing,47,P0030,79
202512,C00297,Left,60,P0115,44
202512,C00298,Existing,41,P0045,177
202512,C00299,Existing,58,P0004,87
202512,C00300,Existing,43,P0069,146
202512,C00301,Existing,50,P0023,121
202512,C00302,Existing,50,P0016,121
202512,C00303,Existing,42,P0022,144
202512,C00304,Existing,43,P0072,109
202512,C00305,Left,55,P0048,26
202512,C00306,Existing,38,P0190,127
202512,C00307,Existing,21,P0188,93
202512,C00308,Left,62,P0107,100
202512,C00309,Existing,39,P0133,81
202512,C00310,Existing,45,P0007,85
202512,C00311,Existing,63,P0051,5
202512,C00312,Existing,40,P0065,127
202512,C00313,Existing,35,P0009,80
202512,C00314,Left,41,P0082,107
202512,C00315,Existing,50,P0045,147
202512,C00316,Existing,37,P0122,81
202512,C00317,Existing,64,P0175,52
202512,C00318,Existing,44,P0195,124
202512,C00319,Existing,40,P0152,155
202512,C00320,Existing,36,P0010,76
202512,C00321,Existing,46,P0073,89
202512,C00322,Existing,26,P0048,106
202512,C00323,Left,57,P0163,71
202512,C00324,Existing,48,P0182,71
202512,C00325,Left,37,P0087,46
202512,C00326,Existing,39,P0111,156
202512,C00327,Existing,35,P0199,54
202512,C00328,Existing,35,P0016,144
202512,C00329,Existing,45,P0053,97
202512,C00330,Existing,45,P0040,37
202512,C00331,Existing,35,P0100,70
202512,C00332,Left,39,P0020,125
202512,C00333,Existing,36,P0069,149
202512,C00334,Existing,48,P0045,128
202512,C00335,Existing,44,P0006,111
202512,C00336,Existing,31,P0197,75
202512,C00337,Existing,28,P0177,74
202512,C00338,Existing,34,P0039,42
202512,C00339,Existing,25,P0102,33
202512,C00340,Left,49,P0130,21
202512,C00341,Left,41,P0107,46
202512,C00342,Left,59,P0039,11
202512,C00343,Existing,37,P0118,163
202512,C00344,Existing,40,P0149,115
202512,C00345,Existing,43,P0168,91
202512,C00346,Left,45,P0082,50
202512,C00347,Existing,52,P0054,50
202512,C00348,Existing,35,P0110,98
202512,C00349,Left,51,P0012,41
202512,C00350,Existing,49,P0165,65
202512,C00351,Existing,38,P0110,141
202512,C00352,Existing,38,P0038,132
202512,C00353,Existing,52,P0143,91
202512,C00354,Existing,35,P0007,103
202512,C00355,Existing,39,P0078,138
202512,C00356,Existing,47,P0178,151
202512,C00357,Existing,47,P0065,133
202512,C00358,Existing,58,P0102,60
202512,C00359,Existing,49,P0195,96
202512,C00360,Existing,38,P0101,133
202512,C00361,Existing,44,P0044,53
202512,C00362,Left,32,P0031,15
202512,C00363,Left,25,P0171,52
202512,C00364,Left,51,P0077,75
202512,C00365,Existing,21,P0048,55
202512,C00366,Existing,55,P0082,69
202512,C00367,Existing,29,P0127,17
202512,C00368,Existing,43,P0189,74
202512,C00369,Existing,37,P0084,110
202512,C00370,Existing,22,P0010,104
202512,C00371,Left,63,P0029,78
202512,C00372,Existing,27,P0048,101
202512,C00373,Existing,49,P0190,142
202512,C00374,Existing,47,P0116,7
202512,C00375,Existing,49,P0013,82
202512,C00376,Existing,44,P0172,174
202512,C00377,Existing,37,P0047,108
202512,C00378,Existing,45,P0103,170
202512,C00379,Left,45,P0192,108
202512,C00380,Existing,45,P0091,111
202512,C00381,Existing,29,P0053,26
202512,C00382,Existing,33,P0092,100
202512,C00383,Existing,42,P0077,85
202512,C00384,Existing,28,P0044,88
202512,C00385,Existing,35,P0156,101
202512,C00386,Existing,22,P0002,85
202512,C00387,Existing,48,P0101,98
202512,C00388,Existing,49,P0057,134
202512,C00389,Existing,39,P0057,105
202512,C00390,Existing,23,P0034,84
202512,C00391,Existing,45,P0058,173
202512,C00392,Existing,36,P0180,98
202512,C00393,Existing,55,P0157,18
202512,C00394,Existing,54,P0035,39
202512,C00395,Existing,25,P0075,8
202512,C00396,Existing,35,P0176,72
202512,C00397,Existing,39,P0033,168
202512,C00398,Existing,26,P0115,60
202512,C00399,Existing,32,P0075,54
202512,C00400,Existing,40,P0073,73
202512,C00401,Existing,45,P0078,117
202512,C00402,Existing,56,P0009,41
202512,C00403,Existing,29,P0048,81
202512,C00404,Left,48,P0067,103
202512,C00405,Existing,37,P0164,83
202512,C00406,Existing,63,P0199,86
202512,C00407,Left,61,P0119,54
202512,C00408,Left,38,P0172,155
202512,C00409,Existing,44,P0188,87
202512,C00410,Existing,43,P0191,153
202512,C00411,Existing,43,P0133,150
202512,C00412,Left,56,P0119,7
202512,C00413,Existing,37,P0086,165
202512,C00414,Existing,43,P0106,70
202512,C00415,Existing,41,P0076,98
202512,C00416,Left,30,P0040,60
202512,C00417,Existing,34,P0019,38
202512,C00418,Left,36,P0047,147
202512,C00419,Existing,40,P0065,62
202512,C00420,Existing,47,P0195,91
202512,C00421,Existing,35,P0146,105
202512,C00422,Existing,43,P0178,162
202512,C00423,Existing,45,P0030,169
202512,C00424,Existing,26,P0126,57
202512,C00425,Existing,41,P0066,48
202512,C00426,Existing,44,P0005,144
202512,C00427,Left,20,P0093,98
202512,C00428,Existing,55,P0097,27
202512,C00429,Existing,25,P0170,95
202512,C00430,Left,62,P0094,60
202512,C00431,Existing,39,P0106,86
202512,C00432,Existing,50,P0133,94
202512,C00433,Existing,37,P0178,168
202512,C00434,Existing,43,P0085,144
202512,C00435,Existing,41,P0058,178
202512,C00436,Left,50,P0079,81
202512,C00437,Existing,35,P0008,106
202512,C00438,Left,35,P0159,98
202512,C00439,Existing,30,P0012,74
202512,C00440,Existing,40,P0149,147
202512,C00441,Existing,63,P0094,36
202512,C00442,Existing,44,P0190,139
202512,C00444,Existing,38,P0033,84
202512,C00445,Existing,64,P0154,119
202512,C00446,Existing,46,P0100,174
202512,C00447,Existing,40,P0168,100
202512,C00448,Existing,36,P0193,38
202512,C00449,Existing,38,P0187,44
202512,C00450,Existing,35,P0015,89
202512,C00451,Existing,54,P0114,61
202512,C00452,Existing,38,P0129,113
202512,C00453,Existing,36,P0011,63
202512,C00454,Left,46,P0055,89
202512,C00455,Existing,47,P0002,117
202512,C00456,Existing,43,P0065,140
202512,C00457,Existing,40,P0172,103
202512,C00458,Existing,50,P0016,160
202512,C00459,Left,35,P0150,114
202512,C00460,Existing,49,P0106,136
202512,C00461,Existing,39,P0146,125
202512,C00462,Existing,26,P0175,10
202512,C00463,Existing,45,P0030,164
202512,C00464,Existing,62,P0010,67
202512,C00465,Existing,62,P0186,24
202512,C00466,Left,45,P0062,61
202512,C00467,Existing,41,P0085,74
202512,C00468,Existing,50,P0134,166
202512,C00469,Existing,48,P0067,140
202512,C00470,Existing,45,P0041,75
202512,C00471,Existing,57,P0171,34
202512,C00472,Existing,53,P0018,104
202512,C00473,Existing,35,P0058,127
202512,C00474,Existing,38,P0060,130
202512,C00475,Existing,30,P0088,107
202512,C00476,Existing,49,P0027,105
202512,C00477,Existing,53,P0068,114
202512,C00478,Existing,44,P0022,87
202512,C00479,Existing,42,P0152,150
202512,C00480,Left,43,P0040,66
202512,C00481,Existing,50,P0109,124
202512,C00482,Existing,44,P0074,100
202512,C00483,Existing,22,P0066,5
202512,C00484,Existing,37,P0168,156
202512,C00485,Existing,48,P0006,135
202512,C00486,Existing,50,P0112,163
202512,C00487,Left,34,P0018,48
202512,C00488,Existing,53,P0081,36
202512,C00489,Existing,28,P0102,82
202512,C00490,Existing,38,P0110,129
202512,C00491,Existing,50,P0030,139
202512,C00492,Existing,55,P0122,114
202512,C00493,Existing,44,P0149,119
202512,C00494,Existing,39,P0062,113
202512,C00495,Existing,44,P0138,98
202512,C00496,Existing,28,P0120,84
202512,C00497,Existing,48,P0107,109
202512,C00498,Existing,36,P0141,5
202512,C00499,Left,32,P0076,42
202512,C00500,Existing,37,P0009,50
202512,C00501,Existing,45,P0196,72
202512,C00502,Existing,44,P0039,75
202512,C00503,Existing,44,P0024,71
202512,C00504,Existing,45,P0125,176
202512,C00505,Existing,40,P0118,166
202512,C00506,Existing,62,P0034,74
202512,C00507,Existing,47,P0061,82
202512,C00508,Existing,36,P0169,75
202512,C00509,Existing,37,P0133,164
202512,C00510,Existing,40,P0079,163
202512,C00511,Existing,39,P0050,76
202512,C00512,Existing,43,P0132,107
202512,C00513,Existing,32,P0051,50
202512,C00514,Existing,38,P0052,98
202512,C00515,Existing,62,P0122,67
202512,C00516,Left,46,P0167,93
202512,C00517,Existing,38,P0008,106
202512,C00518,Existing,55,P0113,107
202512,C00519,Existing,35,P0045,130
202512,C00520,Existing,37,P0088,110
202512,C00521,Existing,50,P0028,93
202512,C00522,Left,54,P0119,81
202512,C00523,Existing,55,P0107,52
202512,C00524,Existing,42,P0027,133
202512,C00525,Existing,49,P0193,29
202512,C00526,Existing,58,P0162,55
202512,C00527,Existing,60,P0081,118
202512,C00528,Existing,45,P0101,124
202512,C00529,Existing,38,P0062,105
202512,C00530,Existing,47,P0062,119
202512,C00531,Left,52,P0166,3
202512,C00532,Existing,25,P0026,59
202512,C00533,Existing,25,P0121,93
202512,C00534,Existing,43,P0024,164
202512,C00535,Existing,36,P0039,54
202512,C00536,Existing,50,P0124,94
202512,C00537,Left,35,P0021,85
202512,C00538,Existing,43,P0094,98
202512,C00539,Existing,40,P0175,48
202512,C00540,Existing,35,P0115,10
202512,C00541,Existing,38,P0176,149
202512,C00542,Existing,55,P0121,96
202512,C00543,Existing,57,P0013,4
202512,C00544,Existing,54,P0131,55
202512,C00545,Left,28,P0160,2
202512,C00546,Left,63,P0163,48
202512,C00547,Existing,47,P0019,79
202512,C00548,Existing,41,P0142,72
202512,C00549,Existing,42,P0176,131
202512,C00550,Left,49,P0081,81
202512,C00551,Existing,35,P0123,117
202512,C00552,Existing,44,P0068,2
202512,C00553,Existing,58,P0173,115
202512,C00554,Existing,50,P0019,10
202512,C00555,Existing,43,P0064,161
202512,C00556,Existing,48,P0101,93
202512,C00557,Existing,46,P0066,58
202512,C00558,Existing,58,P0066,85
202512,C00559,Left,42,P0075,103
202512,C00560,Existing,49,P0045,138
202512,C00561,Existing,54,P0087,51
202512,C00562,Existing,50,P0067,116
202512,C00563,Existing,35,P0197,97
202512,C00564,Left,31,P0003,103
202512,C00565,Existing,39,P0166,29
202512,C00566,Existing,22,P0170,112
202512,C00567,Existing,36,P0168,146
202512,C00568,Existing,44,P0178,130
202512,C00569,Existing,24,P0163,47
202512,C00570,Existing,44,P0024,90
202512,C00571,Existing,39,P0088,20
202512,C00572,Existing,49,P0017,157
202512,C00573,Left,57,P0040,53
202512,C00574,Existing,48,P0194,72
202512,C00575,Left,47,P0172,77
202512,C00576,Existing,41,P0151,45
202512,C00577,Existing,49,P0006,152
202512,C00578,Left,26,P0194,61
202512,C00579,Left,42,P0149,91
202512,C00580,Existing,51,P0119,96
202512,C00581,Left,37,P0120,103
202512,C00582,Existing,30,P0035,118
202512,C00583,Left,30,P0113,42
202512,C00584,Left,53,P0029,112
202512,C00585,Existing,36,P0007,167
202512,C00586,Existing,45,P0053,3
202512,C00587,Existing,42,P0165,62
202512,C00588,Existing,37,P0023,76
202512,C00589,Existing,41,P0097,95
202512,C00590,Existing,42,P0136,132
202512,C00591,Left,62,P0076,2
202512,C00592,Existing,45,P0176,96
202512,C00593,Existing,23,P0010,14
202512,C00594,Existing,63,P0117,106
202512,C00595,Existing,37,P0024,178
202512,C00596,Existing,51,P0175,78
202512,C00597,Left,39,P0181,114
202512,C00598,Existing,26,P0039,100
202512,C00599,Left,42,P0195,71
202512,C00600,Existing,36,P0066,34
202512,C00602,Existing,24,P0021,30
202512,C00603,Existing,49,P0073,162
202512,C00604,Existing,29,P0074,55
202512,C00605,Existing,43,P0036,92
202512,C00606,Existing,51,P0131,95
202512,C00607,Left,40,P0170,3
202512,C00608,Left,51,P0173,2
202512,C00609,Existing,46,P0044,73
202512,C00610,Existing,41,P0091,73
202512,C00611,Existing,48,P0161,139
202512,C00612,Existing,50,P0060,117
202512,C00613,Left,35,P0093,78
202512,C00614,Existing,36,P0083,85
202512,C00615,Existing,64,P0198,98
202512,C00616,Existing,47,P0083,130
202512,C00617,Existing,58,P0077,21
202512,C00618,Existing,51,P0026,44
202512,C00619,Existing,29,P0021,23
202512,C00620,Existing,34,P0120,55
202512,C00621,Existing,25,P0130,33
202512,C00622,Left,58,P0175,12
202512,C00623,Existing,50,P0108,74
202512,C00624,Left,60,P0158,10
202512,C00625,Existing,43,P0027,137
202512,C00626,Existing,52,P0071,7
202512,C00627,Existing,29,P0148,79
202512,C00628,Existing,38,P0050,63
202512,C00629,Existing,55,P0095,27
202512,C00630,Existing,35,P0023,168
202512,C00631,Existing,25,P0141,54
202512,C00632,Existing,55,P0081,5
202512,C00633,Existing,44,P0132,99
202512,C00634,Existing,46,P0142,153
202512,C00635,Existing,45,P0020,136
202512,C00636,Existing,40,P0124,113
202512,C00637,Left,27,P0013,6
202512,C00638,Existing,60,P0003,69
202512,C00639,Existing,23,P0175,32
202512,C00640,Left,52,P0131,1
202512,C00641,Existing,43,P0129,179
202512,C00642,Existing,60,P0090,8
202512,C00643,Existing,48,P0152,151
202512,C00644,Existing,51,P0035,89
202512,C00645,Left,35,P0014,72
202512,C00646,Existing,42,P0195,162
202512,C00647,Existing,63,P0141,113
202512,C00648,Left,63,P0175,48
202512,C00649,Existing,43,P0050,154
202512,C00650,Existing,43,P0078,120
202512,C00651,Existing,64,P0154,34
202512,C00652,Left,26,P0003,97
202512,C00653,Existing,54,P0179,93
202512,C00654,Existing,24,P0040,76
202512,C00655,Left,38,P0196,96
202512,C00656,Existing,35,P0164,30
202512,C00657,Left,29,P0051,77
202512,C00658,Existing,38,P0001,152
202512,C00659,Existing,23,P0104,46
202512,C00660,Existing,39,P0161,136
202512,C00661,Existing,56,P0135,48
202512,C00662,Existing,38,P0117,17
202512,C00663,Left,42,P0116,40
202512,C00664,Existing,48,P0052,51
202512,C00665,Existing,21,P0120,17
202512,C00666,Existing,47,P0139,90
202512,C00667,Existing,58,P0155,60
202512,C00668,Existing,50,P0142,110
202512,C00669,Existing,36,P0086,73
202512,C00670,Existing,61,P0046,51
202512,C00671,Existing,37,P0076,43
202512,C00672,Existing,39,P0010,61
202512,C00673,Existing,49,P0152,85
202512,C00674,Existing,37,P0061,126
202512,C00675,Left,48,P0018,6
202512,C00676,Existing,38,P0086,83
202512,C00677,Existing,26,P0137,75
202512,C00678,Existing,38,P0145,122
202512,C00679,Existing,24,P0128,88
202512,C00680,Left,58,P0104,112
202512,C00681,Existing,52,P0186,84
202512,C00682,Existing,60,P0141,61
202512,C00683,Left,40,P0178,86
202512,C00684,Existing,40,P0101,163
202512,C00685,Existing,50,P0006,139
202512,C00686,Existing,45,P0085,176
202512,C00687,Existing,40,P0051,102
202512,C00688,Existing,49,P0036,22
202512,C00689,Existing,39,P0071,111
202512,C00690,Existing,42,P0100,98
202512,C00691,Existing,64,P0025,54
202512,C00692,Existing,46,P0139,170
202512,C00693,Existing,36,P0044,90
202512,C00694,Left,44,P0014,78
202512,C00695,Existing,49,P0029,25
202512,C00696,Left,21,P0074,102
202512,C00697,Existing,37,P0050,160
202512,C00698,Existing,45,P0005,69
202512,C00699,Existing,26,P0200,6
202512,C00700,Existing,50,P0110,136
202512,C00701,Existing,38,P0197,114
202512,C00702,Existing,57,P0122,2
202512,C00703,Existing,25,P0088,20
202512,C00704,Left,49,P0057,65
202512,C00705,Existing,30,P0026,8
202512,C00706,Existing,36,P0006,108
202512,C00707,Existing,50,P0144,147
202512,C00708,Existing,35,P0060,95
202512,C00709,Existing,44,P0100,122
202512,C00710,Existing,25,P0012,78
202512,C00711,Left,21,P0075,89
202512,C00712,Existing,32,P0003,18
202512,C00713,Existing,47,P0063,76
202512,C00714,Existing,58,P0192,1
202512,C00715,Existing,39,P0190,60
202512,C00716,Existing,44,P0134,60
202512,C00717,Existing,36,P0019,76
202512,C00718,Existing,22,P0018,50
202512,C00719,Existing,38,P0080,121
202512,C00720,Existing,63,P0171,55
202512,C00721,Left,35,P0073,97
202512,C00722,Left,21,P0131,8
202512,C00723,Existing,54,P0126,106
202512,C00724,Existing,45,P0072,122
202512,C00725,Existing,39,P0038,166
202512,C00726,Left,32,P0068,107
202512,C00727,Existing,35,P0172,174
202512,C00728,Existing,47,P0080,178
202512,C00729,Existing,38,P0191,102
202512,C00730,Existing,29,P0042,81
202512,C00731,Existing,48,P0064,116
202512,C00732,Existing,41,P0182,69
202512,C00733,Existing,48,P0078,142
202512,C00734,Left,22,P0127,89
202512,C00735,Existing,41,P0105,38
202512,C00736,Existing,58,P0199,54
202512,C00738,Existing,42,P0165,149
202512,C00739,Existing,36,P0132,122
202512,C00740,Left,23,P0130,68
202512,C00741,Left,30,P0122,50
202512,C00742,Existing,22,P0044,103
